Regular Session,Exams,Holiday,Weekday,Julian Day,Hour,Precip.,Air Temp,Solar Radiation,Humidity,2 inch Soil Temp,4 inch Soil Temp,Wind Speed,Wind Direction,St. Dev. of Wind Direction,Leaf Wetness, Electrical Consumption - Meter 1 (kW), Electrical Consumption  - Meter 2 (kW), Electrical Consumption  - Meter 3 (kW), Electrical Consumption  - Meter 4 (kW),Steam Consumption  (klb/hr),Chilled Water Consumption (TON),Electrical Consumption (kW),Steam Consumption (klb/hr),Chilled Water Consumption (TON),Electrical Consumption (kW),Steam Consumption (klb/hr)
0,0,0,1,0,0,0,40.9,0,84.2,37.41,37.73,1.583796,240.5,80.8,0,1960,262,669,445,9.1875,1.875,185,0.251953125,0,202,0
0,0,0,1,0,1,0,39.1,0,74.54,37.51,37.82,0,0,0,0,1951,263,661,443,10.4375,1.875,185,0.250976563,0,192,0
0,0,0,1,0,2,0,36.6,0,77.26,37.52,37.88,0,0,0,0,1941,262,656,439,10.8125,1.875,185,0.245117188,0,187,0
0,0,0,1,0,3,0,35.2,0,79.14,37.43,37.88,0,0,0,0,1942,265,654,439,10.875,1.75,187,0.244140625,0,187,0.00390625
0,0,0,1,0,4,0,32.2,0,84.1,37.25,37.85,0,0,0,0.003,1922,255,649,434,11,1.875,185,0.244140625,0,186,0
0,0,0,1,0,5,0,29.8,0,88,36.95,37.72,0,0,0,0.017,1932,254,653,441,11.3125,1.875,184,0.244140625,0,188,0
0,0,0,1,0,6,0,29.3,0,88,36.63,37.54,0,0,0,0.021,1928,253,649,442,11.4375,2,183,0.25,0,186,0
0,0,0,1,0,7,0,30.6,0,88.6,36.31,37.37,0,0,0,0.003,1929,255,649,441,11.25,1.875,184,0.249023438,0,294,1.4375
0,0,0,1,0,8,0,30.9,0,89,36.08,37.18,0,0,0,0.004,1932,253,653,442,11.5625,1.875,177,0.2421875,0,323,1.94921875
0,0,0,1,0,9,0,31.9,0.01,87.4,35.9,37,0,0,0,0.002,1933,254,655,440,11.0625,1.875,159,0.2421875,0,334,1.8125
0,0,0,1,0,10,0,32.9,0.44,85.2,35.78,36.86,0,0,0,0,1943,259,655,445,10.875,1.875,157,0.245117188,0,331,1.63671875
0,0,0,1,0,11,0,36.2,1.9,75.88,35.66,36.75,0,0,0,0,1951,259,657,451,10.75,1.875,153,0.24609375,0,334,1.2578125
0,0,0,1,0,12,0,40.7,2.77,63.79,35.7,36.69,0,0,0,0,1956,265,657,450,9.6875,2.25,154,0.252929688,0,330,0.97265625
0,0,0,1,0,13,0,43.4,3.19,63.77,36.23,36.76,0,0,0,0,1968,267,665,452,9.1875,3.25,154,0.254882813,0,337,0.85546875
0,0,0,1,0,14,0,45,3.32,66.15,37.18,37.11,0,0,0,0,1971,267,667,453,9.3125,3.375,154,0.25,0,343,0.8359375
0,0,0,1,0,15,0,47.2,2.93,58.51,38.26,37.72,2.196734,149.4,57.5,0,1988,268,672,464,8.875,3.5,154,0.251953125,0,343,0.71875
0,0,0,1,0,16,0,47.2,1.94,57.82,39.3,38.39,2.879019,191.6,51.87,0,1998,273,672,469,9.25,3.25,155,0.248046875,0,336,0.73828125
0,0,0,1,0,17,0,46,0.84,62.69,40.12,39.07,5.903443,138.5,16.33,0,1993,271,668,470,8.75,3,180,0.248046875,0,333,0.81640625
0,0,0,1,0,18,0,44.8,0.15,64.53,40.49,39.6,0.387001,120.7,97.1,0,1992,269,674,465,9.125,2.625,183,0.250976563,0,332,0.94140625
0,0,0,1,0,19,0,42.4,0,69.67,40.51,39.87,0,0,0,0,1978,270,669,455,8.875,2.25,184,0.251953125,0,328,0.890625
0,0,0,1,0,20,0,41.7,0,71.87,40.32,39.98,0,0,0,0,1977,271,667,455,8.875,2.125,182,0.248046875,0,329,1.00390625
0,0,0,1,0,21,0,41.2,0,75.51,39.97,39.97,2.939418,79.27,29.86,0,1957,265,657,451,9.625,1.75,185,0.252929688,0,331,1.02734375
